a,dist,period,rplanet,snr,temp,transit_time,transitangle
1496000000000.0,1.0,491593518.7640654,637100.0,0.09461153211938007,14000.0,226016.2208408465,0.0014443862090999463
1496000000000.0,1.8957356524063758,491593518.7640654,637100.0,0.09461153211938007,14000.0,226016.2208408465,0.0014443862090999463
1496000000000.0,3.5938136638046276,491593518.7640654,637100.0,0.09461153211938012,14000.0,226016.2208408465,0.0014443862090999463
1496000000000.0,6.812920690579613,491593518.7640654,637100.0,0.09461153211938012,14000.0,226016.2208408465,0.0014443862090999463
1496000000000.0,12.91549665014884,491593518.7640654,637100.0,0.09461153211938007,14000.0,226016.2208408465,0.0014443862090999463
1496000000000.0,24.484367468222267,491593518.7640654,637100.0,0.09461153211938007,14000.0,226016.2208408465,0.0014443862090999463
1496000000000.0,46.4158883361278,491593518.7640654,637100.0,0.09635554129652386,14000.0,226016.2208408465,0.0014443862090999463
1496000000000.0,87.99225435691075,491593518.7640654,637100.0,0.09912158762242756,14000.0,226016.2208408465,0.0014443862090999463
1496000000000.0,166.81005372000593,491593518.7640654,637100.0,0.10182009417341917,14000.0,226016.2208408465,0.0014443862090999463
1496000000000.0,316.22776601683796,491593518.7640654,637100.0,0.10476941301513355,14000.0,226016.2208408465,0.0014443862090999463
1496000000000.0,1.0,491593518.7640654,1559899.0514004407,0.09461149101317307,14000.0,226112.74406532885,0.0014450030533856417
1496000000000.0,1.8957356524063758,491593518.7640654,1559899.0514004407,0.09461149101317311,14000.0,226112.74406532885,0.0014450030533856417
1496000000000.0,3.5938136638046276,491593518.7640654,1559899.0514004407,0.09461149101317311,14000.0,226112.74406532885,0.0014450030533856417
1496000000000.0,6.812920690579613,491593518.7640654,1559899.0514004407,0.09461149101317311,14000.0,226112.74406532885,0.0014450030533856417
1496000000000.0,12.91549665014884,491593518.7640654,1559899.0514004407,0.09461149101317307,14000.0,226112.74406532885,0.0014450030533856417
1496000000000.0,24.484367468222267,491593518.7640654,1559899.0514004407,0.09461149101317307,14000.0,226112.74406532885,0.0014450030533856417
1496000000000.0,46.4158883361278,491593518.7640654,1559899.0514004407,0.09635549978694875,14000.0,226112.74406532885,0.0014450030533856417
1496000000000.0,87.99225435691075,491593518.7640654,1559899.0514004407,0.09912154503642932,14000.0,226112.74406532885,0.0014450030533856417
1496000000000.0,166.81005372000593,491593518.7640654,1559899.0514004407,0.10182005035599656,14000.0,226112.74406532885,0.0014450030533856417
1496000000000.0,316.22776601683796,491593518.7640654,1559899.0514004407,0.10476936810476119,14000.0,226112.74406532885,0.0014450030533856417
1496000000000.0,1.0,491593518.7640654,3819314.158781973,0.09461124458793624,14000.0,226349.07507507323,0.001446513357601806
1496000000000.0,1.8957356524063758,491593518.7640654,3819314.158781973,0.09461124458793624,14000.0,226349.07507507323,0.001446513357601806
1496000000000.0,3.5938136638046276,491593518.7640654,3819314.158781973,0.09461124458793624,14000.0,226349.07507507323,0.001446513357601806
1496000000000.0,6.812920690579613,491593518.7640654,3819314.158781973,0.09461124458793624,14000.0,226349.07507507323,0.001446513357601806
1496000000000.0,12.91549665014884,491593518.7640654,3819314.158781973,0.09461124458793624,14000.0,226349.07507507323,0.001446513357601806
1496000000000.0,24.484367468222267,491593518.7640654,3819314.158781973,0.09461124458793624,14000.0,226349.07507507323,0.001446513357601806
1496000000000.0,46.4158883361278,491593518.7640654,3819314.158781973,0.09635525094110035,14000.0,226349.07507507323,0.001446513357601806
1496000000000.0,87.99225435691075,491593518.7640654,3819314.158781973,0.09912128973671477,14000.0,226349.07507507323,0.001446513357601806
